Date,Price,size,collab,retail price
2020-03-17 10:38:42+00:00,930,10.5,1,175
2020-03-18 10:16:57+00:00,1190,9.5,1,175
2020-03-18 14:46:48+00:00,915,11.0,1,175
2020-03-20 23:59:35+00:00,1304,9.0,1,175
2020-03-23 07:06:36+00:00,1269,8.0,1,175
2020-03-24 01:40:48+00:00,944,10.5,1,175
2020-03-26 21:11:30+00:00,1053,10.0,1,175
2020-03-27 19:27:00+00:00,918,11.0,1,175
2020-03-29 23:59:48+00:00,1232,9.5,1,175
2020-03-30 16:42:54+00:00,969,10.5,1,175
2020-04-01 20:07:06+00:00,1329,8.5,1,175
2020-04-02 14:23:34+00:00,1338,9.0,1,175
2020-04-04 01:09:04+00:00,1282,8.0,1,175
2020-04-06 00:07:12+00:00,934,11.0,1,175
2020-04-06 07:45:00+00:00,1007,10.5,1,175
2020-04-06 22:45:00+00:00,1084,10.0,1,175
2020-04-10 13:42:39+00:00,1256,9.5,1,175
2020-04-12 22:47:06+00:00,1038,10.5,1,175
2020-04-15 04:47:24+00:00,1007,11.0,1,175
2020-04-15 04:47:33+00:00,1425,9.0,1,175
2020-04-15 19:11:32+00:00,1392,8.0,1,175
2020-04-18 00:18:30+00:00,1204,10.0,1,175
2020-04-19 00:58:00+00:00,1406,8.5,1,175
2020-04-19 13:49:12+00:00,1070,10.5,1,175
2020-04-22 03:25:30+00:00,1400,9.5,1,175
2020-04-24 09:27:36+00:00,1076,11.0,1,175
2020-04-26 04:51:18+00:00,1172,10.5,1,175
2020-04-27 13:14:00+00:00,1420,8.0,1,175
2020-04-27 19:11:32+00:00,1483,9.0,1,175
2020-04-29 01:52:00+00:00,1283,10.0,1,175
2020-05-02 19:53:24+00:00,1204,10.5,1,175
2020-05-03 14:07:48+00:00,1107,11.0,1,175
2020-05-03 17:08:21+00:00,1454,9.5,1,175
2020-05-06 05:48:54+00:00,1459,8.5,1,175
2020-05-09 07:16:28+00:00,1529,8.0,1,175
2020-05-09 10:55:30+00:00,1238,10.5,1,175
2020-05-10 03:25:30+00:00,1336,10.0,1,175
2020-05-10 09:35:31+00:00,1502,9.0,1,175
2020-05-12 18:48:00+00:00,1163,11.0,1,175
2020-05-15 06:51:12+00:00,1508,9.5,1,175
2020-05-16 01:57:36+00:00,1222,10.5,1,175
2020-05-21 01:18:56+00:00,1519,8.0,1,175
2020-05-21 04:59:00+00:00,1400,10.0,1,175
2020-05-21 23:28:12+00:00,1235,11.0,1,175
2020-05-22 16:59:42+00:00,1315,10.5,1,175
2020-05-22 23:59:30+00:00,1560,9.0,1,175
2020-05-23 10:39:48+00:00,1543,8.5,1,175
2020-05-26 20:34:03+00:00,1546,9.5,1,175
2020-05-29 08:01:48+00:00,1396,10.5,1,175
2020-05-31 04:08:24+00:00,1239,11.0,1,175
2020-06-01 06:32:30+00:00,1401,10.0,1,175
2020-06-01 19:21:24+00:00,1621,8.0,1,175
2020-06-04 14:23:29+00:00,1594,9.0,1,175
2020-06-04 23:03:54+00:00,1408,10.5,1,175
2020-06-07 10:16:54+00:00,1502,9.5,1,175
2020-06-09 08:48:36+00:00,1301,11.0,1,175
2020-06-09 15:30:42+00:00,1571,8.5,1,175
2020-06-11 14:06:00+00:00,1379,10.5,1,175
2020-06-12 08:06:00+00:00,1386,10.0,1,175
2020-06-13 13:23:52+00:00,1598,8.0,1,175
2020-06-17 04:47:28+00:00,1640,9.0,1,175
2020-06-18 05:08:06+00:00,1391,10.5,1,175
2020-06-18 13:28:48+00:00,1326,11.0,1,175
2020-06-18 23:59:45+00:00,1498,9.5,1,175
2020-06-23 09:39:30+00:00,1395,10.0,1,175
2020-06-24 20:10:12+00:00,1358,10.5,1,175
2020-06-25 07:26:20+00:00,1576,8.0,1,175
2020-06-26 20:21:36+00:00,1504,8.5,1,175
2020-06-27 18:09:00+00:00,1315,11.0,1,175
2020-06-29 19:11:27+00:00,1481,9.0,1,175
2020-06-30 13:42:36+00:00,1424,9.5,1,175
2020-07-01 11:12:18+00:00,1362,10.5,1,175
2020-07-04 11:13:00+00:00,1431,10.0,1,175
2020-07-06 22:49:12+00:00,1338,11.0,1,175
2020-07-07 01:28:48+00:00,1478,8.0,1,175
2020-07-08 02:14:24+00:00,1374,10.5,1,175
2020-07-12 03:25:27+00:00,1490,9.5,1,175
2020-07-12 09:35:26+00:00,1463,9.0,1,175
2020-07-14 01:12:30+00:00,1516,8.5,1,175
2020-07-14 17:16:30+00:00,1388,10.5,1,175
2020-07-15 12:46:30+00:00,1512,10.0,1,175
2020-07-16 03:29:24+00:00,1357,11.0,1,175
2020-07-18 19:31:16+00:00,1440,8.0,1,175
2020-07-21 08:18:36+00:00,1403,10.5,1,175
2020-07-23 17:08:18+00:00,1491,9.5,1,175
2020-07-24 23:59:25+00:00,1528,9.0,1,175
2020-07-25 08:09:36+00:00,1348,11.0,1,175
2020-07-26 14:20:00+00:00,1485,10.0,1,175
2020-07-27 23:20:42+00:00,1445,10.5,1,175
2020-07-30 13:33:44+00:00,1515,8.0,1,175
2020-07-31 06:03:24+00:00,1532,8.5,1,175
2020-08-03 12:49:48+00:00,1401,11.0,1,175
2020-08-03 14:22:48+00:00,1483,10.5,1,175
2020-08-04 06:51:09+00:00,1489,9.5,1,175
2020-08-06 14:23:24+00:00,1581,9.0,1,175
2020-08-06 15:53:30+00:00,1498,10.0,1,175
2020-08-10 05:24:54+00:00,1401,10.5,1,175
2020-08-11 07:36:12+00:00,1524,8.0,1,175
2020-08-12 17:30:00+00:00,1391,11.0,1,175
2020-08-15 20:34:00+00:00,1527,9.5,1,175
2020-08-16 20:27:00+00:00,1519,10.5,1,175
2020-08-17 10:54:18+00:00,1498,8.5,1,175
2020-08-17 17:27:00+00:00,1590,10.0,1,175
2020-08-19 04:47:23+00:00,1593,9.0,1,175
