Date,Price,size,collab,retail price
2022-12-11 03:47:00+00:00,619,10.5,1,170
2022-12-16 15:07:56+00:00,669,11.0,1,170
2022-12-20 10:43:00+00:00,701,9.5,1,170
2022-12-21 00:49:29+00:00,659,8.5,1,170
2022-12-23 13:00:18+00:00,725,10.0,1,170
2023-01-04 11:02:47+00:00,618,10.5,1,170
2023-01-07 11:25:04+00:00,714,11.0,1,170
2023-01-11 00:34:48+00:00,628,9.0,1,170
2023-01-23 19:55:12+00:00,675,10.0,1,170
2023-01-28 01:31:30+00:00,789,9.5,1,170
2023-01-28 18:18:34+00:00,587,10.5,1,170
2023-01-29 07:42:12+00:00,632,11.0,1,170
2023-02-09 19:42:35+00:00,706,8.0,1,170
2023-02-20 03:59:20+00:00,603,11.0,1,170
2023-02-22 01:34:21+00:00,609,10.5,1,170
2023-02-22 20:41:12+00:00,725,8.5,1,170
2023-02-24 02:50:06+00:00,613,10.0,1,170
2023-02-25 03:30:24+00:00,767,9.0,1,170
2023-03-07 16:20:00+00:00,731,9.5,1,170
2023-03-14 00:16:28+00:00,601,11.0,1,170
2023-03-18 08:50:08+00:00,612,10.5,1,170
2023-03-27 09:45:00+00:00,675,10.0,1,170
2023-04-04 20:33:36+00:00,570,11.0,1,170
2023-04-11 06:26:00+00:00,773,9.0,1,170
2023-04-11 16:05:55+00:00,668,10.5,1,170
2023-04-15 07:08:30+00:00,704,9.5,1,170
2023-04-16 20:34:00+00:00,727,8.0,1,170
2023-04-26 16:50:44+00:00,622,11.0,1,170
2023-04-27 16:32:55+00:00,779,8.5,1,170
2023-04-27 16:39:54+00:00,720,10.0,1,170
2023-05-05 23:21:42+00:00,664,10.5,1,170
2023-05-18 13:07:52+00:00,712,11.0,1,170
2023-05-23 21:57:00+00:00,789,9.5,1,170
2023-05-26 09:21:36+00:00,857,9.0,1,170
2023-05-28 23:34:48+00:00,695,10.0,1,170
2023-05-30 06:37:29+00:00,640,10.5,1,170
2023-06-09 09:25:00+00:00,724,11.0,1,170
2023-06-21 21:25:25+00:00,798,8.0,1,170
2023-06-23 13:53:16+00:00,682,10.5,1,170
2023-06-29 06:29:42+00:00,724,10.0,1,170
2023-06-30 12:24:38+00:00,690,8.5,1,170
2023-07-01 05:42:08+00:00,706,11.0,1,170
2023-07-01 12:45:30+00:00,750,9.5,1,170
2023-07-10 12:17:12+00:00,701,9.0,1,170
2023-07-17 21:09:03+00:00,689,10.5,1,170
2023-07-23 01:59:16+00:00,626,11.0,1,170
2023-07-30 13:24:36+00:00,697,10.0,1,170
2023-08-09 03:34:00+00:00,640,9.5,1,170
2023-08-11 04:24:50+00:00,639,10.5,1,170
2023-08-13 22:16:24+00:00,637,11.0,1,170
2023-08-24 15:12:48+00:00,735,9.0,1,170
2023-08-26 22:16:50+00:00,764,8.0,1,170
2023-08-30 20:19:30+00:00,632,10.0,1,170
2023-09-02 08:16:21+00:00,742,8.5,1,170
