Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,47.250000,47.900002,47.209999,47.775002,45.464211,7039100
2017-12-13,47.840000,47.865002,47.325001,47.369999,45.078793,7466629
2017-12-14,47.509998,47.570000,47.064999,47.205002,44.921776,4976500
2017-12-15,47.169998,47.290001,46.509998,46.509998,44.260395,16742363
2017-12-18,46.880001,47.355000,46.875000,47.355000,45.064522,6286173
2017-12-19,46.520000,46.790001,46.119999,46.150002,44.500431,6349949
2017-12-20,46.099998,46.389999,46.025002,46.220001,44.567932,4929440
2017-12-21,46.139999,46.735001,46.099998,46.615002,44.948814,4680064
2017-12-22,46.580002,46.750000,46.419998,46.470001,44.808994,3330287
2017-12-27,46.595001,46.814999,46.525002,46.535000,44.871670,3422576
2017-12-28,46.555000,46.610001,46.224998,46.334999,44.678818,3187546
2017-12-29,46.400002,46.605000,46.044998,46.044998,44.399185,4179386
2018-01-02,46.404999,46.404999,45.845001,46.060001,44.413651,4997867
2018-01-03,46.105000,46.610001,46.105000,46.560001,44.895782,6782657
2018-01-04,46.799999,47.575001,46.799999,47.480000,45.782894,8356524
2018-01-05,47.459999,48.169998,47.459999,47.825001,46.115562,5799220
2018-01-08,48.000000,48.279999,47.845001,48.035000,46.318054,3827349
2018-01-09,48.090000,48.500000,48.044998,48.299999,46.573582,5049979
2018-01-10,48.314999,48.410000,47.900002,48.150002,46.428947,4889380
2018-01-11,48.240002,48.340000,47.919998,48.145000,46.424122,4662759
2018-01-12,48.145000,48.750000,47.915001,48.610001,46.872505,6398070
2018-01-15,48.660000,48.744999,48.384998,48.575001,46.838753,3461491
2018-01-16,48.595001,48.650002,48.064999,48.139999,46.419300,5552216
2018-01-17,47.970001,48.125000,47.650002,47.880001,46.168594,4612458
2018-01-18,47.990002,48.134998,47.389999,47.584999,45.884140,5702316
2018-01-19,47.419998,47.660000,47.110001,47.290001,45.599682,7686936
2018-01-22,47.490002,47.935001,47.424999,47.904999,46.192703,4604302
2018-01-23,48.000000,48.134998,47.450001,47.450001,45.753963,4769882
2018-01-24,47.380001,47.790001,47.305000,47.549999,45.850388,4362733
2018-01-25,47.599998,47.924999,47.290001,47.540001,45.840748,4618268
2018-01-26,47.599998,47.794998,47.430000,47.520000,45.821461,3505520
2018-01-29,47.509998,47.660000,47.125000,47.294998,45.604504,4330813
2018-01-30,46.935001,47.070000,46.439999,46.500000,44.837921,6610587
2018-01-31,46.625000,46.764999,46.404999,46.634998,44.968094,6117529
2018-02-01,47.279999,47.455002,46.775002,47.060001,45.377907,8244692
2018-02-02,47.240002,47.384998,46.070000,46.134998,44.485962,6826348
2018-02-05,45.950001,45.965000,45.325001,45.360001,43.738670,7534505
2018-02-06,43.805000,44.605000,43.090000,43.869999,42.301926,16069236
2018-02-07,44.575001,45.080002,44.014999,44.759998,43.160114,9654886
2018-02-08,45.005001,45.875000,44.705002,45.075001,43.463856,12899019
2018-02-09,45.020000,45.360001,44.340000,44.705002,43.107082,12684742
2018-02-12,45.000000,45.680000,44.805000,45.244999,43.627777,7960852
2018-02-13,45.580002,45.685001,45.150002,45.340000,43.719383,6791773
2018-02-14,45.365002,45.619999,44.639999,45.330002,43.709743,7210798
2018-02-15,45.720001,45.840000,44.985001,45.165001,43.550636,6751372
2018-02-16,45.560001,46.119999,45.275002,45.900002,44.259369,7914797
2018-02-19,45.904999,46.070000,45.814999,45.889999,44.249722,3643917
2018-02-20,46.049999,46.599998,45.959999,46.599998,44.934345,7057664
2018-02-21,46.209999,46.820000,46.189999,46.820000,45.146481,5605350
2018-02-22,46.419998,47.035000,46.224998,46.875000,45.199516,5731624
2018-02-23,46.990002,47.259998,46.855000,47.070000,45.387550,4115792
2018-02-26,47.474998,47.584999,47.160000,47.369999,45.676819,4130822
2018-02-27,47.365002,47.535000,47.070000,47.299999,45.609329,4347082
2018-02-28,47.000000,47.470001,46.775002,46.970001,45.291122,8231213
2018-03-01,46.630001,46.830002,46.115002,46.410000,44.751141,6735051
